Given_ID_Clean,Presumed_ID_Clean,uncertain
red cheek,,?
red check greening,,?
red canada,canada red,
red canada,canada red,
red brittenhanna,bietigheimer,
red breligheimer,bietigheimer,
red bitzheimer,bietigheimer,
red biddemere,bietigheimer,
red beterheimer,bietigheimer,
red beterguner,bietigheimer,
red betenhimer,bietigheimer,
red bertshesheimer,bietigheimer,
red bellflower,red bellflower,
red beitigheimer,bietigheimer,
red beitgheimer,bietigheimer,
red beauty,rome beauty,
red beatdoin,baldwin,
red baldwin,baldwin,
red astrakan,red astrachan,
red astrachan,red astrachan,
red astrachan,red astrachan,
red astracan,red astrachan,
red and yellow harvey,,?
red and black,,?
rebson pippin,ribston pippin,
re par main,,?
rawler's jenet,rall's jannet,
rave ripe,,?
rauls gennett,rall's jannet,
rauber,,?
rattle box,,?
raspberry russet,,?
ransom sweet,ramsdell sweet,
ransom,ramsdell sweet,
ransacking,,?
randall sweet,ramsdell sweet,
ramsdell sweet,ramsdell sweet,
ramdell's sweet,ramsdell sweet,
rambough,rambo,
rambo,rambo,
rambo,rambo,
ramba,rambo,
ram's horns,rams's horns,
raleigh,,?
rainbow,rambo,
rainbow,rambo,
r. i. sweeting,lyman's pumpkin sweet,
r. i. sweet,lyman's pumpkin sweet,
r. i. russet,perry russet,
r. i. russet,perry russet,
r. i. pippin,,?
r. i. greening,rhode island greening,
r. i. greening,rhode island greening,
r. i. gravenstein,rhode island greening,
"r. i, sweet",lyman's pumpkin sweet,
r. i greening,rhode island greening,
r. i greening,rhode island greening,
r s pippin,ribston pippin,
r i greening,rhode island greening,
r i greening,rhode island greening,
quinine sweet,,?
quince sweeting,,?
quince sweet,,?
quince apple,,?
quince,cole's quince,
quince,cole's quince,
queens' pocket piece,queen's pocket,
queens choice,montreal crab,
queening,,?
queen's pocket,queen's pocket,
queen's choice,montreal crab,
queen sweeting,,?
queen sweet,,?
queen delight,,?
queen ann,,?
queen,,?
quebec winter sweet,quebec winter sweet,
quebec sweet,quebec winter sweet,
quebec sweet,quebec winter sweet,
quebec sweet,quebec winter sweet,
quaker beauty,quaker beauty crab,
putnam russet,roxbury russet,
purple winter,,?
purple crab,purple siberian crab,
purple blush crab,purple siberian crab,
puppy noses,,?
pumpkin sweeting,pumpkin russet,
