County,Fair,Year,IsApple,Given_ID,Given_ID_Clean,Alt_ID,Alt_ID_Clean,Presumed_ID,Presumed_ID_Clean,Uncertain
Knox,Knox Co.,1883,True,Yellow Bellflower,yellow bellflower,Yellow Bell Flower,yellow bell flower,Yellow Bellflower,yellow bellflower,False
Knox,Knox Co.,1884,False,(Pear) Barltett,barltett,,,,,False
Knox,Knox Co.,1884,False,(Pear) Bonne de Jersey,bonne de jersey,(Pear) Louise Bonnie de Jersey,(pear) louise bonnie de jersey,,,False
Knox,Knox Co.,1884,False,(Pear) Buerre de Anjou,buerre de anjou,(Pear) Beaurree D'Anjou,(pear) beaurree d'anjou,,,False
Knox,Knox Co.,1884,True,Alexander,alexander,,,Alexander,alexander,False
Knox,Knox Co.,1884,True,Barton Pippin,barton pippin,,,,,False
Knox,Knox Co.,1884,True,Blue Pearmain,blue pearmain,,,Blue Pearmain,blue pearmain,False
Knox,Knox Co.,1884,True,Famuese,famuese,Famous,famous,Fameuse,fameuse,False
Knox,Knox Co.,1884,True,Hunt's Red,hunt's red,,,,,False
Knox,Knox Co.,1884,True,McIntosh Red,mcintosh red,,,McIntosh,mcintosh,False
Knox,Knox Co.,1884,True,Porter,porter,,,Porter,porter,False
Knox,Knox Co.,1884,True,Thompson,thompson,,,,,False
Knox,Knox Co.,1884,True,Twenty Ounce Pippin,twenty ounce pippin,,,,,False
Knox,Knox Co.,1885,False,(Pear) Barltett,barltett,,,,,False
Knox,Knox Co.,1885,False,(Pear) Beurre Bosc,beurre bosc,,,,,False
Knox,Knox Co.,1885,False,(Pear) Beurre Clairgeau,beurre clairgeau,,,,,False
Knox,Knox Co.,1885,False,(Pear) Beurre Hardy,beurre hardy,,,,,False
Knox,Knox Co.,1885,False,(Pear) Bonne de Jersey,bonne de jersey,(Pear) Louise Bonnie de Jersey,(pear) louise bonnie de jersey,,,False
Knox,Knox Co.,1885,False,(Pear) Buerre de Anjou,buerre de anjou,(Pear) Beaurree D'Anjou,(pear) beaurree d'anjou,,,False
Knox,Knox Co.,1885,False,(Pear) Clapps Favorite,clapps favorite,,,,,False
Knox,Knox Co.,1885,False,(Pear) Vicar of Wakefield,vicar of wakefield,(Pear) Winkfield,(pear) winkfield,,,False
Knox,Knox Co.,1885,True,Alexandria,alexandria,,,Alexander,alexander,False
Knox,Knox Co.,1885,True,Baldwin,baldwin,,,Baldwin,baldwin,False
Knox,Knox Co.,1885,True,Ben Davis,ben davis,,,Ben Davis,ben davis,False
Knox,Knox Co.,1885,True,Black Oxford,black oxford,,,Black Oxford,black oxford,False
Knox,Knox Co.,1885,True,Blue Pearmain,blue pearmain,,,Blue Pearmain,blue pearmain,False
Knox,Knox Co.,1885,True,Cathead,cathead,,,,,False
Knox,Knox Co.,1885,True,Early Harvest,early harvest,,,Early Harvest,early harvest,False
Knox,Knox Co.,1885,True,Fall Greening,fall greening,,,,,False
Knox,Knox Co.,1885,True,Fall Pippin,fall pippin,,,,,False
Knox,Knox Co.,1885,True,Famuese,famuese,Famous,famous,Fameuse,fameuse,False
Knox,Knox Co.,1885,True,French Russet,french russet,,,,,False
Knox,Knox Co.,1885,True,Golden Sweet,golden sweet,,,,,False
Knox,Knox Co.,1885,True,Gravenstein,gravenstein,,,Gravenstein,gravenstein,False
Knox,Knox Co.,1885,True,Haas,haas,,,Haas,haas,False
Knox,Knox Co.,1885,True,Hubbardston Nonsuch,hubbardston nonsuch,"Hubbardston Non Such, Hubbardstone Nonesuch","hubbardston non such, hubbardstone nonesuch",Hubbardston,hubbardston,False
Knox,Knox Co.,1885,True,McIntosh Red,mcintosh red,,,McIntosh,mcintosh,False
Knox,Knox Co.,1885,True,Minister,minister,,,Minister,minister,False
Knox,Knox Co.,1885,True,Newton Pippin,newton pippin,,,,,False
Knox,Knox Co.,1885,True,Northern Spy,northern spy,Spy,spy,Northern Spy,northern spy,False
Knox,Knox Co.,1885,True,Peck's Pleasant,peck's pleasant,,,Peck Pleasant,peck pleasant,False
Knox,Knox Co.,1885,True,Philadelphia Pippin,philadelphia pippin,Phila. Pippin,phila. pippin,,,False
Knox,Knox Co.,1885,True,Pippin,pippin,,,,,False
Knox,Knox Co.,1885,True,Porter,porter,,,Porter,porter,False
Knox,Knox Co.,1885,True,R. I. Greening,r. i. greening,,,Rhode Island Greening,rhode island greening,False
Knox,Knox Co.,1885,True,Red Astrachan,red astrachan,,,Red Astrachan,red astrachan,False
Knox,Knox Co.,1885,True,Ribston Pippin,ribston pippin,Ribstone Pippin,ribstone pippin,Ribston Pippin,ribston pippin,False
Knox,Knox Co.,1885,True,Roxbury Russet,roxbury russet,,,Roxbury Russet,roxbury russet,False
Knox,Knox Co.,1885,True,Stump,stump,,,Stump,stump,False
Knox,Knox Co.,1885,True,Swaar,swaar,,,Swaar,swaar,False
Knox,Knox Co.,1885,True,Sweet Porter,sweet porter,,,,,False
Knox,Knox Co.,1885,True,Tompkins King,tompkins king,"King, King of Tompkin's Co., ","king, king of tompkin's co.,",King of Tompkins County,king of tompkins county,False
Knox,Knox Co.,1885,True,Twenty Ounce,twenty ounce,,,Twenty Ounce,twenty ounce,False
Knox,Knox Co.,1885,True,Wagner,wagner,,,Wagener,wagener,False
Knox,Knox Co.,1885,True,Wealthy,wealthy,,,Wealthy,wealthy,False
Knox,Knox Co.,1885,True,William's Favorite,william's favorite,Williams,williams,William's Favorite,william's favorite,False
Knox,Knox Co.,1885,True,Winter Greening,winter greening,,,,,False
Knox,Knox Co.,1885,True,Winthrop Greening,winthrop greening,,,Winthrop Greening,winthrop greening,False
Knox,Knox Co.,1885,True,Yellow Bellflower,yellow bellflower,Yellow Bell Flower,yellow bell flower,Yellow Bellflower,yellow bellflower,False
Knox,Knox Co.,1886,False,(Pear) Barltett,barltett,,,,,False
Knox,Knox Co.,1886,False,(Pear) Bell Lucrative,bell lucrative,,,,,False
Knox,Knox Co.,1886,False,(Pear) Buerre de Anjou,buerre de anjou,(Pear) Beaurree D'Anjou,(pear) beaurree d'anjou,,,False
Knox,Knox Co.,1886,False,(Pear) Howell,howell,,,,,False
Knox,Knox Co.,1886,False,(Pear) Louise Bonnie,louise bonnie,,,,,False
Knox,Knox Co.,1886,False,(Pear) Seckel,seckel,,,,,False
Knox,Knox Co.,1886,False,(Pear) Sheldon,sheldon,(Pear) Shelden,(pear) shelden,,,False
Knox,Knox Co.,1886,False,(Pear) Vicar of Wakefield,vicar of wakefield,(Pear) Winkfield,(pear) winkfield,,,False
Knox,Knox Co.,1886,True,Alexander,alexander,,,Alexander,alexander,False
Knox,Knox Co.,1886,True,Baldwin,baldwin,,,Baldwin,baldwin,False
Knox,Knox Co.,1886,True,Bell's Early,bell's early,,,Sops of Wine,sops of wine,False
Knox,Knox Co.,1886,True,Duchess of Oldenberg,duchess of oldenberg,"Duchess, Dutchess of Oldenburg","duchess, dutchess of oldenburg",Duchess of Oldenburg,duchess of oldenburg,False
Knox,Knox Co.,1886,True,Fall Greening,fall greening,,,,,False
Knox,Knox Co.,1886,True,Fall Pippin,fall pippin,,,,,False
Knox,Knox Co.,1886,True,Famuese,famuese,Famous,famous,Fameuse,fameuse,False
Knox,Knox Co.,1886,True,French Russet,french russet,,,,,False
Knox,Knox Co.,1886,True,Golden Russet,golden russet,,,,,False
