County,Fair,Year,Event,Location,Source,Page,Notes,Missing Location
hancock,eden,1917.0,eden ag. soc. fair,eden (bar harbor),bar harbor times,6,des. & prem.,False
hancock,eden,1918.0,eden ag. soc. fair,eden (bar harbor),bar harbor times,5,premiums,False
hancock,eden,1919.0,eden ag. soc. fair,eden (bar harbor),bar harbor times,7,premiums,False
hancock,eden,1920.0,eden ag. soc. fair,eden (bar harbor),bar harbor times,8,premiums,False
hancock,eden,1922.0,eden ag. soc. fair,eden (bar harbor),bar harbor times,2,premiums,False
hancock,eden,1923.0,eden ag. soc. fair,eden (bar harbor),bar harbor times,1,premiums,False
hancock,eden,1924.0,eden ag. soc. fair,eden (bar harbor),bar harbor times,2,premiums,False
hancock,eden,1925.0,eden ag. soc. fair,eden (bar harbor),bar harbor times,8,premiums,False
hancock,eden,1926.0,eden ag. soc. fair,eden (bar harbor),bar harbor times,6,premiums,False
hancock,eden,1927.0,eden ag. soc. fair,eden (bar harbor),bar harbor times,2,premiums,False
hancock,eden,1928.0,eden ag. soc. fair,eden (bar harbor),bar harbor times,8,premiums,False
hancock,eden,1929.0,eden ag. soc. fair,eden (bar harbor),bar harbor times,6,premiums,False
hancock,amherst,1894.0,northern hancock ag. soc. fair,amherst,ellsworth american,6,premiums,False
hancock,amherst,1895.0,northern hancock ag. soc. fair,amherst,ellsworth american,5,premiums,False
hancock,amherst,1896.0,northern hancock ag. soc. fair,amherst,ellsworth american,7,premiums,False
hancock,amherst,1897.0,northern hancock ag. soc. fair,amherst,ellsworth american,2,premiums,False
hancock,amherst,1898.0,northern hancock ag. soc. fair,amherst,ellsworth american,7,premiums,False
hancock,amherst,1899.0,northern hancock ag. soc. fair,amherst,ellsworth american,7,premiums,False
hancock,amherst,1900.0,northern hancock ag. soc. fair,amherst,ellsworth american,7,premiums,False
hancock,amherst,1901.0,northern hancock ag. soc. fair,amherst,ellsworth american,"3, 7",premiums,False
hancock,amherst,1902.0,northern hancock ag. soc. fair,amherst,ellsworth american,3,premiums,False
hancock,amherst,1903.0,northern hancock ag. soc. fair,amherst,ellsworth american,3,premiums,False
hancock,amherst,1905.0,northern hancock ag. soc. fair,amherst,ellsworth american,8,premiums,False
hancock,amherst,1906.0,northern hancock ag. soc. fair,amherst,ellsworth american,3,premiums,False
hancock,amherst,1907.0,northern hancock ag. soc. fair,amherst,ellsworth american,3,premiums,False
hancock,amherst,1908.0,northern hancock ag. soc. fair,amherst,ellsworth american,3,premiums,False
hancock,amherst,1909.0,northern hancock ag. soc. fair,amherst,ellsworth american,3,premiums,False
hancock,amherst,1910.0,northern hancock ag. soc. fair,amherst,ellsworth american,3,premiums,False
hancock,amherst,1911.0,northern hancock ag. soc. fair,amherst,ellsworth american,3,premiums,False
hancock,amherst,1912.0,northern hancock ag. soc. fair,amherst,ellsworth american,3,premiums,False
somerset,mercer,1885.0,mercer town fair,mercer,lewiston evening journal,4,premiums,False
somerset,mercer,1885.0,mercer town fair,mercer,somerset reporter,2,premiums,False
somerset,mercer,1886.0,mercer town fair,mercer,somerset reporter,1,premiums,False
somerset,mercer,1887.0,mercer town fair,mercer,somerset reporter,1,premiums,False
somerset,mercer,1898.0,mercer town fair,mercer,lewiston evening journal,8,premiums,False
somerset,mercer,1898.0,mercer town fair,mercer,somerset reporter,2,premiums,False
somerset,mercer,1899.0,mercer town fair,mercer,lewiston evening journal,11,premiums,False
somerset,mercer,1901.0,mercer town fair,mercer,lewiston evening journal,3,premiums,False
somerset,mercer,1903.0,mercer town fair,mercer,somerset reporter,7,premiums,False
somerset,mercer,1904.0,mercer town fair,mercer,somerset reporter,7,premiums,False
somerset,mercer,1905.0,mercer town fair,mercer,lewiston evening journal,8,premiums,False
somerset,mercer,1908.0,mercer town fair,mercer,somerset reporter,6,premiums,False
somerset,fairfield,1885.0,central maine fair,fairfield,pittsfield advertiser,2,description,False
somerset,brighton,1885.0,brighton fair,brighton,somerset reporter,2,premiums,False
somerset,brighton,1887.0,brighton fair,brighton,somerset reporter,1,premiums,False
somerset,brighton,1888.0,brighton fair,brighton,somerset reporter,2,premiums,False
somerset,brighton,1889.0,west brighton and south bingham cattle show,brighton,somerset reporter,2,premiums,False
somerset,brighton,1889.0,west brighton and south bingham cattle show,brighton,pittsfield advertiser,2,premiums,False
somerset,brighton,1890.0,brighton fair,brighton,somerset reporter,4,premiums,False
somerset,moscow,1879.0,moscow & pleasant ridge fair,moscow,maine farmer,1,premiums,False
somerset,central me. fair,1885.0,central maine fair,fairfield,pittsfield advertiser,2,description,False
somerset,no. somerset ag. soc.,1889.0,north somerset agricultural society fair,,somerset reporter,2,premiums,True
somerset,no. somerset ag. soc.,1884.0,north somerset agricultural society fair,,maine farmer,1,des. & prem.,True
somerset,starks,1898.0,sandy river ag. soc.,starks,somerset reporter,2,premiums,False
somerset,starks,1914.0,starks grange fair,starks,daily kennebec journal,8,premiums,False
somerset,starks,1900.0,sandy river ag. soc.,starks,maine farmer,4,premiums,False
somerset,starks,1916.0,starks grange fair,starks,the independent-reporter,7,premiums,False
somerset,starks,1915.0,starks ag. soc.,starks,the independent-reporter,8,premiums,False
somerset,anson,1900.0,anson grange fair,north anson,somerset reporter,7,premiums,False
somerset,anson,1898.0,anson grange fair,anson,somerset reporter,6,premiums,False
somerset,anson,1922.0,north anson agricultural soc. fair,north anson,independent - reporter,7,premiums,False
somerset,cornville,1906.0,north cornville fair,north cornville,somerset reporter,4,premiums,False
somerset,cornville,1909.0,cornville grange fair,cornville,independent reporter,1,premiums,False
somerset,athens,1899.0,west athens fair,west athens,somerset reporter,2,premiums,False
somerset,athens,1906.0,athens grange fair,athens,somerset reporter,6,premiums,False
somerset,athens,1908.0,athens grange fair,athens,somerset reporter,3,premiums,False
somerset,solon,1897.0,,solon,somerset reporter,2,premiums,False
somerset,ripley,1912.0,ripley grange fair,ripley,lewiston evening journal,4,premiums,False
somerset,canaan,1886.0,canaan fair,canaan,somerset reporter,1,description,False
somerset,canaan,1886.0,canaan fair,canaan,pittsfield advertiser,2,description,False
somerset,canaan,1899.0,canaan grange fair,canaan,somerset reporter,2,premiums,False
somerset,canaan,1900.0,canaan grange fair,canaan,somerset reporter,2,description,False
somerset,canaan,1907.0,canaan grange fair,canaan,somerset reporter,6,premiums,False
somerset,canaan,1922.0,canaan grange fair,canaan,daily kennebec journal,7,premiums,False
somerset,somerset co. farm bureau,1922.0,somerset co. farm bureau seed show,skowhegan,the independent-reporter,1,premiums,False
somerset,somerset co. farm bureau,1921.0,somerset co. farm bureau seed show,skowhegan,the independent-reporter,6,premiums,False
somerset,somerset co. farm bureau,1923.0,somerset co. farm bureau seed show,skowhegan,the independent-reporter,1,premiums,False
somerset,embden,1901.0,embden fair,embden station,somerset reporter,2,premiums,False
somerset,embden,1898.0,embden fair,embden station,somerset reporter,2,premiums,False
somerset,embden,1896.0,embden fair,embden station,somerset reporter,6,premiums,False
somerset,embden,1908.0,embden fair,embden station,somerset reporter,6,premiums,False
somerset,skowhegan,1908.0,skowhegan grange,skowhegan,somerset reporter,1,description,False
somerset,new portland,1916.0,new portland fair,new portland,independent-reporter,4,description,False
somerset,new portland,1923.0,new portland fair,new portland,independent-reporter,12,description,False
somerset,somerset central,1905.0,somerset central fair,skowhegan,somerset reporter,2,premiums,False
somerset,somerset central,1906.0,somerset central fair,skowhegan,somerset reporter,7,premiums,False
somerset,somerset central,1907.0,somerset central fair,skowhegan,somerset reporter,7,premiums,False
somerset,somerset central,1908.0,somerset central fair,skowhegan,somerset reporter,6,premiums,False
somerset,somerset central,1909.0,somerset central fair,skowhegan,independent-reporter,1,premiums,False
somerset,somerset central,1910.0,somerset central fair,skowhegan,independent-reporter,3,premiums,False
somerset,somerset central,1910.0,somerset central fair,skowhegan,daily kennebec journal,2,premiums,False
somerset,somerset central,1911.0,somerset central fair,skowhegan,independent-reporter,10,premiums,False
somerset,somerset central,1917.0,somerset central fair,skowhegan,daily kennebec journal,8,description,False
somerset,somerset central,1918.0,somerset central fair,skowhegan,independent-reporter,3,premiums,False
somerset,somerset central,1923.0,somerset central fair,skowhegan,independent-reporter,8,premiums,False
somerset,somerset central,1914.0,somerset central fair,skowhegan,daily kennebec journal,2,premiums,False
somerset,somerset central,1913.0,somerset central fair,skowhegan,daily kennebec journal,4,premiums,False
somerset,somerset central,1919.0,somerset central fair,skowhegan,independent-reporter,10,premiums,False
somerset,somerset central,1922.0,somerset central fair,skowhegan,independent-reporter,5,premiums,False
somerset,somerset central,1925.0,somerset central fair,skowhegan,daily kennebec journal,2,premiums,False
somerset,somerset central,1924.0,somerset central fair,skowhegan,daily kennebec journal,2,premiums,False
york,acton fair,1899.0,shapleigh & acton fair,acton,sanford tribune,4,premiums,False
york,acton fair,1907.0,shapleigh & acton fair,acton,sanford tribune,7,premiums,False
york,acton fair,1911.0,shapleigh & acton fair,acton,sanford tribune,8,premiums,False
york,acton fair,1912.0,shapleigh & acton fair,acton,sanford tribune,7,premiums,False
york,acton fair,1913.0,shapleigh & acton fair,acton,sanford tribune,7,premiums,False
york,acton fair,1913.0,shapleigh & acton fair,acton,springvale advocate,6,premiums,False
york,acton fair,1914.0,shapleigh & acton fair,acton,springvale advocate,1,premiums,False
york,acton fair,1915.0,shapleigh & acton fair,acton,springvale advocate,6,premiums,False
york,acton fair,1916.0,shapleigh & acton fair,acton,springvale advocate,7,premiums,False
york,acton fair,1917.0,shapleigh & acton fair,acton,springvale advocate,3,premiums,False
york,acton fair,1919.0,shapleigh & acton fair,acton,springvale advocate,2,premiums,False
york,acton fair,1920.0,shapleigh & acton fair,acton,springvale advocate,8,premiums,False
york,acton fair,1921.0,shapleigh & acton fair,acton,springvale advocate,3,premiums,False
york,acton fair,1921.0,shapleigh & acton fair,acton,sanford tribune & advocate,6,premiums,False
york,acton fair,1924.0,shapleigh & acton fair,acton,sanford tribune & advocate,11,premiums,False
york,acton fair,1925.0,shapleigh & acton fair,acton,sanford tribune & advocate,3,premiums,False
york,acton fair,1929.0,shapleigh & acton fair,acton,sanford tribune & advocate,14,premiums,False
york,acton fair,1930.0,shapleigh & acton fair,acton,sanford tribune,14,premiums,False
york,acton fair,1932.0,shapleigh & acton fair,acton,sanford tribune & advocate,3,premiums,False
york,acton fair,1933.0,shapleigh & acton fair,acton,sanford tribune & advocate,5,premiums,False
york,acton fair,1934.0,shapleigh & acton fair,acton,sanford tribune & advocate,3,premiums,False
