County,Fair,Year,Event,Location,Source,Page,Notes,Missing Location,Town Latitude,Town Longitude,County Longitude,County Latitude,Coalesce Latitude,Coalesce Longitude
hancock,eden,1904.0,eden ag. soc. fair,eden (bar harbor),bar harbor record,8,premiums,False,44.4309,-68.3209,-68.402,44.614,44.4309,-68.3209
hancock,eden,1905.0,eden ag. soc. fair,eden (bar harbor),bar harbor record,"1, 8",premiums,False,44.4309,-68.3209,-68.402,44.614,44.4309,-68.3209
hancock,eden,1906.0,eden ag. soc. fair,eden (bar harbor),bar harbor record,1,premiums,False,44.4309,-68.3209,-68.402,44.614,44.4309,-68.3209
hancock,eden,1907.0,eden ag. soc. fair,eden (bar harbor),bar harbor record,3,premiums,False,44.4309,-68.3209,-68.402,44.614,44.4309,-68.3209
hancock,eden,1908.0,eden ag. soc. fair,eden (bar harbor),bar harbor record,2,premiums,False,44.4309,-68.3209,-68.402,44.614,44.4309,-68.3209
hancock,eden,1909.0,eden ag. soc. fair,eden (bar harbor),bar harbor record,3,premiums,False,44.4309,-68.3209,-68.402,44.614,44.4309,-68.3209
hancock,eden,1910.0,eden ag. soc. fair,eden (bar harbor),ellsworth american,3,premiums,False,44.4309,-68.3209,-68.402,44.614,44.4309,-68.3209
hancock,eden,1911.0,eden ag. soc. fair,eden (bar harbor),bar harbor record,2,premiums,False,44.4309,-68.3209,-68.402,44.614,44.4309,-68.3209
hancock,eden,1913.0,eden ag. soc. fair,eden (bar harbor),bar harbor record,2,premiums,False,44.4309,-68.3209,-68.402,44.614,44.4309,-68.3209
hancock,eden,1914.0,eden ag. soc. fair,eden (bar harbor),bar harbor record,9,premiums,False,44.4309,-68.3209,-68.402,44.614,44.4309,-68.3209
hancock,eden,1915.0,eden ag. soc. fair,eden (bar harbor),bar harbor times,1,premiums,False,44.4309,-68.3209,-68.402,44.614,44.4309,-68.3209
hancock,eden,1916.0,eden ag. soc. fair,eden (bar harbor),bar harbor times,1,premiums,False,44.4309,-68.3209,-68.402,44.614,44.4309,-68.3209
hancock,eden,1917.0,eden ag. soc. fair,eden (bar harbor),bar harbor times,6,des. & prem.,False,44.4309,-68.3209,-68.402,44.614,44.4309,-68.3209
hancock,eden,1918.0,eden ag. soc. fair,eden (bar harbor),bar harbor times,5,premiums,False,44.4309,-68.3209,-68.402,44.614,44.4309,-68.3209
hancock,eden,1919.0,eden ag. soc. fair,eden (bar harbor),bar harbor times,7,premiums,False,44.4309,-68.3209,-68.402,44.614,44.4309,-68.3209
hancock,eden,1920.0,eden ag. soc. fair,eden (bar harbor),bar harbor times,8,premiums,False,44.4309,-68.3209,-68.402,44.614,44.4309,-68.3209
hancock,eden,1922.0,eden ag. soc. fair,eden (bar harbor),bar harbor times,2,premiums,False,44.4309,-68.3209,-68.402,44.614,44.4309,-68.3209
hancock,eden,1923.0,eden ag. soc. fair,eden (bar harbor),bar harbor times,1,premiums,False,44.4309,-68.3209,-68.402,44.614,44.4309,-68.3209
hancock,eden,1924.0,eden ag. soc. fair,eden (bar harbor),bar harbor times,2,premiums,False,44.4309,-68.3209,-68.402,44.614,44.4309,-68.3209
hancock,eden,1925.0,eden ag. soc. fair,eden (bar harbor),bar harbor times,8,premiums,False,44.4309,-68.3209,-68.402,44.614,44.4309,-68.3209
hancock,eden,1926.0,eden ag. soc. fair,eden (bar harbor),bar harbor times,6,premiums,False,44.4309,-68.3209,-68.402,44.614,44.4309,-68.3209
hancock,eden,1927.0,eden ag. soc. fair,eden (bar harbor),bar harbor times,2,premiums,False,44.4309,-68.3209,-68.402,44.614,44.4309,-68.3209
hancock,eden,1928.0,eden ag. soc. fair,eden (bar harbor),bar harbor times,8,premiums,False,44.4309,-68.3209,-68.402,44.614,44.4309,-68.3209
hancock,eden,1929.0,eden ag. soc. fair,eden (bar harbor),bar harbor times,6,premiums,False,44.4309,-68.3209,-68.402,44.614,44.4309,-68.3209
hancock,amherst,1894.0,northern hancock ag. soc. fair,amherst,ellsworth american,6,premiums,False,44.8323,-68.364,-68.402,44.614,44.8323,-68.364
hancock,amherst,1895.0,northern hancock ag. soc. fair,amherst,ellsworth american,5,premiums,False,44.8323,-68.364,-68.402,44.614,44.8323,-68.364
hancock,amherst,1896.0,northern hancock ag. soc. fair,amherst,ellsworth american,7,premiums,False,44.8323,-68.364,-68.402,44.614,44.8323,-68.364
hancock,amherst,1897.0,northern hancock ag. soc. fair,amherst,ellsworth american,2,premiums,False,44.8323,-68.364,-68.402,44.614,44.8323,-68.364
hancock,amherst,1898.0,northern hancock ag. soc. fair,amherst,ellsworth american,7,premiums,False,44.8323,-68.364,-68.402,44.614,44.8323,-68.364
hancock,amherst,1899.0,northern hancock ag. soc. fair,amherst,ellsworth american,7,premiums,False,44.8323,-68.364,-68.402,44.614,44.8323,-68.364
hancock,amherst,1900.0,northern hancock ag. soc. fair,amherst,ellsworth american,7,premiums,False,44.8323,-68.364,-68.402,44.614,44.8323,-68.364
hancock,amherst,1901.0,northern hancock ag. soc. fair,amherst,ellsworth american,"3, 7",premiums,False,44.8323,-68.364,-68.402,44.614,44.8323,-68.364
hancock,amherst,1902.0,northern hancock ag. soc. fair,amherst,ellsworth american,3,premiums,False,44.8323,-68.364,-68.402,44.614,44.8323,-68.364
hancock,amherst,1903.0,northern hancock ag. soc. fair,amherst,ellsworth american,3,premiums,False,44.8323,-68.364,-68.402,44.614,44.8323,-68.364
hancock,amherst,1905.0,northern hancock ag. soc. fair,amherst,ellsworth american,8,premiums,False,44.8323,-68.364,-68.402,44.614,44.8323,-68.364
hancock,amherst,1906.0,northern hancock ag. soc. fair,amherst,ellsworth american,3,premiums,False,44.8323,-68.364,-68.402,44.614,44.8323,-68.364
hancock,amherst,1907.0,northern hancock ag. soc. fair,amherst,ellsworth american,3,premiums,False,44.8323,-68.364,-68.402,44.614,44.8323,-68.364
hancock,amherst,1908.0,northern hancock ag. soc. fair,amherst,ellsworth american,3,premiums,False,44.8323,-68.364,-68.402,44.614,44.8323,-68.364
hancock,amherst,1909.0,northern hancock ag. soc. fair,amherst,ellsworth american,3,premiums,False,44.8323,-68.364,-68.402,44.614,44.8323,-68.364
hancock,amherst,1910.0,northern hancock ag. soc. fair,amherst,ellsworth american,3,premiums,False,44.8323,-68.364,-68.402,44.614,44.8323,-68.364
hancock,amherst,1911.0,northern hancock ag. soc. fair,amherst,ellsworth american,3,premiums,False,44.8323,-68.364,-68.402,44.614,44.8323,-68.364
hancock,amherst,1912.0,northern hancock ag. soc. fair,amherst,ellsworth american,3,premiums,False,44.8323,-68.364,-68.402,44.614,44.8323,-68.364
