County,Fair,Year,Event,Location,Source,Page,Notes
somerset,starks,1916.0,starks grange fair,starks,the independent-reporter,7,premiums
somerset,starks,1915.0,starks ag. soc.,starks,the independent-reporter,8,premiums
somerset,anson,1900.0,anson grange fair,north anson,somerset reporter,7,premiums
somerset,anson,1898.0,anson grange fair,anson,somerset reporter,6,premiums
somerset,anson,1922.0,north anson agricultural soc. fair,north anson,independent - reporter,7,premiums
somerset,cornville,1906.0,north cornville fair,north cornville,somerset reporter,4,premiums
somerset,cornville,1909.0,cornville grange fair,cornville,independent reporter,1,premiums
somerset,athens,1899.0,west athens fair,west athens,somerset reporter,2,premiums
somerset,athens,1906.0,athens grange fair,athens,somerset reporter,6,premiums
somerset,athens,1908.0,athens grange fair,athens,somerset reporter,3,premiums
somerset,solon,1897.0,,solon,somerset reporter,2,premiums
somerset,ripley,1912.0,ripley grange fair,ripley,lewiston evening journal,4,premiums
somerset,canaan,1886.0,canaan fair,canaan,somerset reporter,1,description
somerset,canaan,1886.0,canaan fair,canaan,pittsfield advertiser,2,description
somerset,canaan,1899.0,canaan grange fair,canaan,somerset reporter,2,premiums
somerset,canaan,1900.0,canaan grange fair,canaan,somerset reporter,2,description
somerset,canaan,1907.0,canaan grange fair,canaan,somerset reporter,6,premiums
somerset,canaan,1922.0,canaan grange fair,canaan,daily kennebec journal,7,premiums
somerset,somerset co. farm bureau,1922.0,somerset co. farm bureau seed show,skowhegan,the independent-reporter,1,premiums
somerset,somerset co. farm bureau,1921.0,somerset co. farm bureau seed show,skowhegan,the independent-reporter,6,premiums
somerset,somerset co. farm bureau,1923.0,somerset co. farm bureau seed show,skowhegan,the independent-reporter,1,premiums
somerset,embden,1901.0,embden fair,embden station,somerset reporter,2,premiums
somerset,embden,1898.0,embden fair,embden station,somerset reporter,2,premiums
somerset,embden,1896.0,embden fair,embden station,somerset reporter,6,premiums
somerset,embden,1908.0,embden fair,embden station,somerset reporter,6,premiums
somerset,skowhegan,1908.0,skowhegan grange,skowhegan,somerset reporter,1,description
somerset,new portland,1916.0,new portland fair,new portland,independent-reporter,4,description
somerset,new portland,1923.0,new portland fair,new portland,independent-reporter,12,description
somerset,somerset central,1905.0,somerset central fair,skowhegan,somerset reporter,2,premiums
somerset,somerset central,1906.0,somerset central fair,skowhegan,somerset reporter,7,premiums
somerset,somerset central,1907.0,somerset central fair,skowhegan,somerset reporter,7,premiums
somerset,somerset central,1908.0,somerset central fair,skowhegan,somerset reporter,6,premiums
somerset,somerset central,1909.0,somerset central fair,skowhegan,independent-reporter,1,premiums
somerset,somerset central,1910.0,somerset central fair,skowhegan,independent-reporter,3,premiums
somerset,somerset central,1910.0,somerset central fair,skowhegan,daily kennebec journal,2,premiums
somerset,somerset central,1911.0,somerset central fair,skowhegan,independent-reporter,10,premiums
somerset,somerset central,1917.0,somerset central fair,skowhegan,daily kennebec journal,8,description
somerset,somerset central,1918.0,somerset central fair,skowhegan,independent-reporter,3,premiums
somerset,somerset central,1923.0,somerset central fair,skowhegan,independent-reporter,8,premiums
somerset,somerset central,1914.0,somerset central fair,skowhegan,daily kennebec journal,2,premiums
somerset,somerset central,1913.0,somerset central fair,skowhegan,daily kennebec journal,4,premiums
somerset,somerset central,1919.0,somerset central fair,skowhegan,independent-reporter,10,premiums
somerset,somerset central,1922.0,somerset central fair,skowhegan,independent-reporter,5,premiums
somerset,somerset central,1925.0,somerset central fair,skowhegan,daily kennebec journal,2,premiums
somerset,somerset central,1924.0,somerset central fair,skowhegan,daily kennebec journal,2,premiums
york,acton fair,1899.0,shapleigh & acton fair,acton,sanford tribune,4,premiums
york,acton fair,1907.0,shapleigh & acton fair,acton,sanford tribune,7,premiums
york,acton fair,1911.0,shapleigh & acton fair,acton,sanford tribune,8,premiums
york,acton fair,1912.0,shapleigh & acton fair,acton,sanford tribune,7,premiums
york,acton fair,1913.0,shapleigh & acton fair,acton,sanford tribune,7,premiums
york,acton fair,1913.0,shapleigh & acton fair,acton,springvale advocate,6,premiums
york,acton fair,1914.0,shapleigh & acton fair,acton,springvale advocate,1,premiums
york,acton fair,1915.0,shapleigh & acton fair,acton,springvale advocate,6,premiums
york,acton fair,1916.0,shapleigh & acton fair,acton,springvale advocate,7,premiums
york,acton fair,1917.0,shapleigh & acton fair,acton,springvale advocate,3,premiums
york,acton fair,1919.0,shapleigh & acton fair,acton,springvale advocate,2,premiums
york,acton fair,1920.0,shapleigh & acton fair,acton,springvale advocate,8,premiums
york,acton fair,1921.0,shapleigh & acton fair,acton,springvale advocate,3,premiums
york,acton fair,1921.0,shapleigh & acton fair,acton,sanford tribune & advocate,6,premiums
york,acton fair,1924.0,shapleigh & acton fair,acton,sanford tribune & advocate,11,premiums
york,acton fair,1925.0,shapleigh & acton fair,acton,sanford tribune & advocate,3,premiums
york,acton fair,1929.0,shapleigh & acton fair,acton,sanford tribune & advocate,14,premiums
york,acton fair,1930.0,shapleigh & acton fair,acton,sanford tribune,14,premiums
york,acton fair,1932.0,shapleigh & acton fair,acton,sanford tribune & advocate,3,premiums
york,acton fair,1933.0,shapleigh & acton fair,acton,sanford tribune & advocate,5,premiums
york,acton fair,1934.0,shapleigh & acton fair,acton,sanford tribune & advocate,3,premiums
york,acton fair,1935.0,shapleigh & acton fair,acton,sanford tribune & advocate,8,premiums
york,acton fair,1951.0,shapleigh & acton fair,acton,sanford tribune,4,premiums
york,acton fair,1952.0,shapleigh & acton fair,acton,sanford tribune,9,premiums
york,acton fair,1892.0,shapleigh & acton fair,acton,biddeford weekly journal,2,premiums
york,acton fair,1893.0,shapleigh & acton fair,acton,biddeford weekly journal,2,premiums
